# op|a_le_hex|b_le_hex|expected_le_hex
square|0100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|-|49f87cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430d11400000000000000000000000000000000000000000000000000000000000061f97cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430bf1100000000000000000000000000000000000000000000000000000000000039fb7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430850a000000000000000000000000000000000000000000000000000000000000a9f97cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430e00c000000000000000000000000000000000000000000000000000000000000edfa7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64305a09000000000000000000000000000000000000000000000000000000000000f9fc7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64306c01000000000000000000000000000000000000000000000000000000000000
inv|0100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|-|6c0beb52b24e4d619f0f75340f716e2052390b707ab00615dc81c09d67265212e074b43705dd9b27a8b7965673ad1d65329fbe8623e2affb8caaefe817a9c027e60b54cbd4f9485605fb80c14aba823cb276d822f0bbba83e14987aa7f57931bea055d9ad3f5104a7709216955e5c05b82146c5afceb5e602bc35ac2c87b4c095c4afda607921bce6b246ca6726e654fd227b726cb5a186176c23d9f174856061eff84a2768ce2aa98316e572e70ddf64532be588f2597bfaea448569e0d262cb892aeec1968486666592c14f9dc1cd3c47fd8f8270e06a58bf61a036482f11560cf6e76f780b94520962743349e2a7f6caabed7bde057c6f9106abc8c679d01a53f45853b940a9979fd8e06e725fa525f247eba065657d7ee68e6b2d65c0612437b532a09168d9523413021adb86b02573dccf80e82f7a1700f5cb7ef3e5b2342771018baa4e6bdffef9d0002644122e65455050344bb62be2f9cc0ee05580f533a418176e3cfb7df9999617e91719813a67613ee304e89fd79a93b09423411
conjugate|0100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|-|01000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000040fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64303ffd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64303efd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64303dfd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64303cfd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64303bfd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430
frobenius|0100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|-|010000000000000000000000000000000000000000000000000000000000000045fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430233999741be4bf3629e674d460475993a5d06f370ce07531c06d53f13e32b028c705e9573dce0490df6cbe50c8b15b80c65a2b35d385afdb00a3738be87cbd16245cb0968dfe52b5438b76edea6f1bdad331b31b6f2540eea4c870214eefaa029da1aa0b13038af69bfa86da0f7be456a5ce2286012e7ded22e6c686bc12f928386a384d419b314c04d531546a11006e2969ebc44a1925cc06d511b9cb45cb21a6945eef97cbef5f77d62acee03bbf1d27455cc499e0f3d4fbd74bede2caf4097a9c0bcb2bedf5627e2788c317fd03d97c6eb6a78088e39474929985a84dde24777600e7bb6d27fe6dbad76acda2d7984127672bf0a076a3c98e3b386da460076da37fdc8b13cdc9df0832e797defac1ecd7a361a99a3bc209924e79a27c332f300176302fed86b0b328cd359b3cb1b2dad1e95a534bd1e3191b98bf826c142a
frobenius2|0100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|-|010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000004afd7c7082b6f6359fb5df61bc3eaa1857b5039f4a02a9aa28a031e1724e64304bfd7cf8506f93de4f5904b5cadab743aa292ffe7b96c65028a031e1724e6430f6ffff57f763f0b48ccd4860b8f3bb2860ba2624091b6cc10100000000000000f4ffffcf28ab530cdc29240daa57aefd0c46fbc4d7864e1b020000000000000055fd7c90bc9969d8614472aef5aee0c4a386b11b10531f4327a031e1724e643057fd7c188b52068112e89601044beeeff6fadc7a41e73ce926a031e1724e64303efd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64303dfd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430f5ffff27200f44c168f76c6d624b6a266d0022e9e0a1badc0300000000000000f4ffff9f5156a718b853481a54af5cfb198cf689af0d9d360400000000000000
frobenius3|0100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|-|010000000000000000000000000000000000000000000000000000000000000045fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430bf0d2d1e68f98f523f61387cb6be9cc0419675711e8fc9d8dea647f5701acc2c2da4f9e8f7d174f6d231cabdda0a9fc598dd76ef21ff2cca4d474e1f5567de1d5595d3a7ebb2395995af36f7b6cd3763d249e151e0d14edff8df303c5bafe91f29157b217c1b93129ed677ae660940a18246eafa6f015bee08a0ee3ab7a8c30bac9d5ff4aa19505bc82fa5b948d8b1f2c63de5dbcf49d09c3e4c3b5306673a29720511f5dc793727e2f7573ea2013b249eee5b7860e0d94916693555ba46c527cd60710deb9e2ad90ea3e9a4796d7dbee0e9cad935bd6c23b50d985bca00860bd0867cf15a1ef93d1f109afdc3c7a9fe1b311a56c6a4d9146011f6a805aa032947fea2d0da68063f2acb05e3d99f4f02bceca878813e2a25267e4ad171afcd076f4bf02391f72848a5494552e860ea79b34a7d09ff6f938f3e1394dc5a93340e
cyclotomic_square|0100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|-|1ff97cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430cb1200000000000000000000000000000000000000000000000000000000000037fb7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64307b07000000000000000000000000000000000000000000000000000000000000a3f77cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430cf1b0000000000000000000000000000000000000000000000000000000000004bf87cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430961000000000000000000000000000000000000000000000000000000000000017fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430bc000000000000000000000000000000000000000000000000000000000000000ffd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64300402000000000000000000000000000000000000000000000000000000000000
add|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|5c00747bf1e4f5d5fa9ffa97d6faa4030f86e570dab76b20f8b167bbffeeeb2de4629512b67d921aa32ce1acab3a7841c1be61c3f014b45b616e1fffb6d8b82e45073451ebac5932beaeaada471a45e8220e52df5ec97d76556a18fb5d3b6904ca0e0aadec9213768409f8e2e8e3ce0e73c813a6a547d8d8bf9999d2b60d2d119e00f98a66556f0b986a4b8d75673c3320450af62e9d78b0e72e3f667ee1df00c122455ff9891f74243de023d68e270a15d3b600850e3aa5c26863a5cad0e729e9628d09f1aeaab5d4c4e5e75b1d11a7c7b1c86b50c94de630c5195960f37a0b97fcd5aa21109bc7242adff074deb18c65a90e3d4661c9c325ca123adf3d942ae0e490d59ceb8e65cd9ff2ca6e258da344dbccf64ca908a70640e91ab5330e0903498d87d0eb8e8ccf8a4eaeafbe1d2c74fe5aab63673054bc4a41ad35447f28ff30ea8c6a8fbeeeb50772e38d6c171be751662b7fdb9ed4001617f6114a65013f132870e3c2000def11be0c82c051f1771ed2d24831e16098cde74ffbda6024|de7c5ceb41d06afbbba6735fdd4518b9fd210a104bec2d8a5afce0b7e516ba106ad829dff52932d7e236cfb7b8ec7e07b8952539936cd991456a68cf27699e05179539ae671f930fa65de07254f9f93e36d6c2ea4a58dea8771a89216aa4730bc9d01588572a6db21ad4239dc9a4fe73fab025ab08278687decca34d1bddcf2236d55e799e50faab7ebd86538765c17669419a25134bbcc4ab86bf15987de2223550f500e91cb1f0fac7466ce947a7c471eca2799ad3ca30f2feb55018f9a803ceb4d4141e43d1b8ea9fed2a1d624530e64744057f084a0c18e38421f87217178eca251e953b47bb1bd3c175578eb9831aaed6b41c0cde7a3bccb3b23e226b221f93f2cc5b203db183573760a0cbc72f01c1cc2ec65139fae6c340a8d730d804b958cfbef5e7dcddbdae0dcaa41ec894459dd4ece7cfde34236fea3f163db909867aa4a3f5168f7e3b321ed2ed449c962d982fcd724d3fe019ae094ade45b115ff29c13d7cb90c22bb17f1aea92de287e4f5a56e4884551a3ed424f18ac2ee19
sub|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|5c00747bf1e4f5d5fa9ffa97d6faa4030f86e570dab76b20f8b167bbffeeeb2de4629512b67d921aa32ce1acab3a7841c1be61c3f014b45b616e1fffb6d8b82e45073451ebac5932beaeaada471a45e8220e52df5ec97d76556a18fb5d3b6904ca0e0aadec9213768409f8e2e8e3ce0e73c813a6a547d8d8bf9999d2b60d2d119e00f98a66556f0b986a4b8d75673c3320450af62e9d78b0e72e3f667ee1df00c122455ff9891f74243de023d68e270a15d3b600850e3aa5c26863a5cad0e729e9628d09f1aeaab5d4c4e5e75b1d11a7c7b1c86b50c94de630c5195960f37a0b97fcd5aa21109bc7242adff074deb18c65a90e3d4661c9c325ca123adf3d942ae0e490d59ceb8e65cd9ff2ca6e258da344dbccf64ca908a70640e91ab5330e0903498d87d0eb8e8ccf8a4eaeafbe1d2c74fe5aab63673054bc4a41ad35447f28ff30ea8c6a8fbeeeb50772e38d6c171be751662b7fdb9ed4001617f6114a65013f132870e3c2000def11be0c82c051f1771ed2d24831e16098cde74ffbda6024|b4766ea58c1ec0c7e0fb61005325d1e09ac641310308f7b9bdd87403ccd5aa15300df96ab7464e1ab772f02e844c91b3f0c864b51ece114bd6cd8c939f54f5088d86d10b91c5dfaa29008bbdc4c46f6ef0b91e2c8dc5e2bbcc45582bae2da10235b3012e7e0446c611c133d7f7dc60561420fe5ebd97d5d55e9970a8adc17500fad36c63d1a51b954ee8ef389c96481029b78539b510cb63dc2841499bba2221410565f32321b380cce269f55fff5adf02f7377bfd41f756c06d52c868f4a110fceeb9013ce57b4d4116225b652723e256e4b22dde75ae3fb658516f378c2100eecb73797f3352a4ec13e76490a658990a0cbc3dfdd4eb634378f10066430b2ea6c64dfa38d53f2276e2c33254eb2e80d562b4c2e244786403e49f53e017202341c1ae608228003d392e543e68768f6b185121998d8c1efdfd19cba7905183198818d08920f811a1cf223a0bd26b6d605ff46276749601371882db5dbab1e612c800ee35ccbf2b446abee6fd3617c03c5211834a6d67e31037d98632075b9101
mul|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|5c00747bf1e4f5d5fa9ffa97d6faa4030f86e570dab76b20f8b167bbffeeeb2de4629512b67d921aa32ce1acab3a7841c1be61c3f014b45b616e1fffb6d8b82e45073451ebac5932beaeaada471a45e8220e52df5ec97d76556a18fb5d3b6904ca0e0aadec9213768409f8e2e8e3ce0e73c813a6a547d8d8bf9999d2b60d2d119e00f98a66556f0b986a4b8d75673c3320450af62e9d78b0e72e3f667ee1df00c122455ff9891f74243de023d68e270a15d3b600850e3aa5c26863a5cad0e729e9628d09f1aeaab5d4c4e5e75b1d11a7c7b1c86b50c94de630c5195960f37a0b97fcd5aa21109bc7242adff074deb18c65a90e3d4661c9c325ca123adf3d942ae0e490d59ceb8e65cd9ff2ca6e258da344dbccf64ca908a70640e91ab5330e0903498d87d0eb8e8ccf8a4eaeafbe1d2c74fe5aab63673054bc4a41ad35447f28ff30ea8c6a8fbeeeb50772e38d6c171be751662b7fdb9ed4001617f6114a65013f132870e3c2000def11be0c82c051f1771ed2d24831e16098cde74ffbda6024|175f740194363dd0887897a6a9651bbe28fbb66e3ea590c8b017483ae501040c89fb63edb66734f42ec87611248d62b50de2b5725d9f56b96824b7b88ca34c2f2401dabed0e8508ff64b2fb59b859551c72a01289d1fa02e82cf17e10fd12c020ecec13b68b522829932f4dfc215dac582d6b371812074dcdfea22983d7320293d3e4821a36465d4f72c038b5fe93a6a1bef9c62863af1115999b06da24ad029c4870b672dabe59872a5615003169157c99cb8ed865e048a2fbce4f80067591eaa2e9bdb39dc3a30ddb073cf07711fa76d23fd821d660084d83a4e10c2812d16d0e6c65578aa2ca181cf2d026652a32822832e04f3d1cd2b7f53d556c773101b5af75dd3af2a39b535591123b6fd4d428c17cbca4e222fcd3fea9ba807e05f242431593182aebc787822ee28f37de26ed33ece2e7d2a79d828ecfe71a2644309ea88579dc7a1c602ddf6d8b53653c805f7bd52379d869ccdc9a46764ff78d719cb67a718318b9a21b654e3b79a1816320bc92b97dd3f73a0c012f38a0f511b25
square|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|-|75a0b8634ca8eb517247cb8eb70fc453700f96d51b470b3b30f78fd4f10e1d21c5c93b9b5fc484694eaf567ce3c494eaf46841ff81dc1403a765ca81852336041c9a93c785ea5b6a0180f806cbe3fd42790bd2bea873128dc0c19dc7bd9fda142e88ca6fd2ab7626dd941d201e7749cdc299b4bbac2e2926760fa5955c03d81376ac4bcd5feacebcb08ea1cfddfc0bf0d2b1f90e7c13973bd0195f7ef881d019018a310c429c18b94701fd45b659733c03234671ee820895e29dab625704a92c49007ffb56b930c43f412f3a3cb19901e4efbefcdebb7440914e33c95a037c11425db340aa2b54eb6066027490ce7d63d0fe6a1c99caca77c665dd888a3efd055d24402f92bd9c46e6c7fc1bb7aef35c8ee44d9709e41efdaba6f1ef46f1b52475484de2983e6cff8de50edf33b58b6c3410819738478f1a6106d60181e7902d0937fb646312d56c0d323c8aaf2d4eece5195918f02b2b44910d25730901180e800bedeae096dbf494f5fb4bd4189e7f71c8cc4911833fc179750e5fa37eeb00
inv|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|-|f56d86f017be8bcda7c78a78a529fec6f683dff731fd6993f8c65238d85ec5215b6ed2854db9c5fcfd7c33e86a8dff4dee55790e026da2402f68808de2d21d0aa31d9a0f26793dd2eff39a893609b83234045415ae9b572da946ca0466455121ea04877db2687f88bf1862f83ccdcf90b8fca9c8806f7bd5dae7832c141b1805f2bd62e2639b9583bf46888f698c7bf4a135df2fdacddabfa9e1ef2dba320517674507096b2b0e0edcfbe0949758292495b7d2ac5f684c4039e0c7040db6901766dcf31bfe5ceb4422d1261d3c44b90fd3fae4c1b55ff3b69f0bb945625ccb0ab1b111b9b4aaf3a865e26dcaee141988b773b0b9c91377a6430393e8f424081f95bb242d474f8910b03e465bb7e5e4adccdf31d2f020bf6cc76759ac5780501b47f2849a0f1d9a3e1c64ecdbe1ac9ad04b9bbac237e5ec23115ae797dd50c025acf1b10deca74a74fb645b93d58a33c9b771d73006855c07b1e6a845e0d9e216f4895b86735685c7c142ed45d37f1d34093e4fea0cea6b057da99adecae6f21f
conjugate|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|-|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250a62ab35cde9f7f93877ef6925d0254d0e3fc205e8870654924282c618dbcec7240932b08c8cd4530c09571d7b1d50f8084bfb37882955eb48eafd5e87a01b2908c1519e0841cb51b44948bb6ace59c573431a00c88657cfac1f7ca872dd0236044af0bdc8da03b2ae11dc40e40aa055972e6186be7b97511f99db566d1f07c61ec0b3c2c18b0450ac07a0c5793192fc1b1712b8dfc2d3afac10083f8da652181c40e966326709f4ea33facc5dd8926f6993282c6400ad8b465af9c25e7018720a
frobenius|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd58763213cd7211a55638c0f8ccd45f739e1c885d542f45f7589d75ee0d9c7ab1e3de4907d28d055d7c7239dde7ae35980cdfb45613c8700bec8e603222b070260c690a07ffc10bdb6a97593c96ca2bbae0c02f6587e8110563dfadae1e330a7b64cfa21198d465ee37fb8aa0e6523bc611fe844349fc8f2fe4ad4314c45780af199c0222bb2a2d7a061fb2b86355d8b0a4230152ba716dfacb0ae1435936848cc076250ae551470b2d94260316db0743c14434891e967b992e3ffc25e71d6bc8977f9c0b3ecbcc4b8ab7cc2f847354ed731a898e125d49f98cf0646f3fa2d259d2323b2886abdecfd5c0ce874382b6fdc210bc231a3e81b92fee800b0a24896e954b2e2cfd0cbf0f3c886e8d7bee308486ca2b002ff7fac23aaefe9890c4da7353479e118749ba168b87d08f852aacee5fd8847b4646c9a1f371a00b1998f253ccfb4b14071416a6af822c5159d0a40ab9d7112eca2f551db698c471cfa66e820236f225|-|c9796548677795614ed1ea2f98b5f44c4cf4a520277a12228ceaaadd587632137a8a6b33c0536043c0f511f5f24df93909293c8a5da8dac91b04b72f8f6f1a29f89e02ad041b1eca57ed02d3f805fdeb82426f1bfe5e91d5d754e2d7fac535111f81a28a1d9f79a6437267e3ad8d38adbd95ec0d08d5a0621cc233fa2bec43119b7861580e670a83ed15decc39860e489727cbcb6e2d75eac2d361088666ac026427b7c6c642afbde9dc14814b876397350d7078c459fcc1d615a682bb579f253872bcb31d8d0b9db055d6aaacce9dd33a121da61b09e0b5d01aee5171b6021e0bef54e573f3af65ca12494b809937b5553cdbd082747d8e8292f9244569991565ea4170eb4dcf689e4a543b5a9db2daa2775ce1df95b47ac1ea228979bc861dd7945defcc2dae8ab1810337a19971b9940b7be793d08aa06aac171e77323902f5b5ecc88057bd1f284ace610c259b0695414868ffdcbc3a9c6e70d2ecf480284e562dbcdecfceabf9d14d10422bb10374f2d13f7cd780f56b29a2d363dc9f20
